Line,Station,NextStation,TravelTime,Interchange
Blue,Dwarka Sector 21,Dwarka Sector 8,3,No
Blue,Dwarka Sector 8,Dwarka Sector 9,2,No
Blue,Dwarka Sector 9,Dwarka Sector 10,2,No
Blue,Dwarka Sector 10,Dwarka Sector 11,2,No
Blue,Dwarka Sector 11,Dwarka Sector 12,2,No
Blue,Dwarka Sector 12,Dwarka Sector 13,2,No
Blue,Dwarka Sector 13,Dwarka Sector 14,2,No
Blue,Dwarka Sector 14,Dwarka,2,No
Blue,Dwarka,Dwarka Mor,2,No
Blue,Dwarka Mor,Nawada,2,No
Blue,Nawada,Uttam Nagar West,2,No
Blue,Uttam Nagar West,Uttam Nagar East,2,No
Blue,Uttam Nagar East,Janakpuri West,2,Yes
Blue,Janakpuri West,Janakpuri East,3,No
Blue,Janakpuri East,Tilak Nagar,2,No
Blue,Tilak Nagar,Subhash Nagar,2,No
Blue,Subhash Nagar,Tagore Garden,2,No
Blue,Tagore Garden,Rajouri Garden,2,No
Blue,Rajouri Garden,Ramesh Nagar,2,No
Blue,Ramesh Nagar,Moti Nagar,2,No
Blue,Moti Nagar,Kirti Nagar,2,No
Blue,Kirti Nagar,Shadipur,2,No
Blue,Shadipur,Patel Nagar,2,No
Blue,Patel Nagar,Rajendra Place,2,No
Blue,Rajendra Place,Karol Bagh,2,No
Blue,Karol Bagh,Jhandewalan,2,No
Blue,Jhandewalan,Ramakrishna Ashram Marg,2,No
Blue,Ramakrishna Ashram Marg,Rajiv Chowk,3,Yes
Blue,Rajiv Chowk,Barakhamba Road,2,No
Blue,Barakhamba Road,Mandi House,2,Yes
Blue,Mandi House,Supreme Court,2,No
Blue,Supreme Court,Indraprastha,2,No
Blue,Indraprastha,Yamuna Bank,3,Yes
Blue,Yamuna Bank,Akshardham,3,No
Blue,Akshardham,Mayur Vihar-I,3,No
Blue,Mayur Vihar-I,Mayur Vihar Extension,2,No
Blue,Mayur Vihar Extension,New Ashok Nagar,2,No
Blue,New Ashok Nagar,Noida Sector 15,2,No
Blue,Noida Sector 15,Noida Sector 16,2,No
Blue,Noida Sector 16,Noida Sector 18,2,No
Blue,Noida Sector 18,Botanical Garden,2,Yes
Blue,Botanical Garden,Golf Course,3,No
Blue,Golf Course,Noida City Centre,2,No
Blue,Noida City Centre,Noida Sector 34,2,No
Blue,Noida Sector 34,Noida Sector 52,2,No
Blue,Noida Sector 52,Noida Sector 61,2,No
Blue,Noida Sector 61,Noida Sector 59,2,No
Blue,Noida Sector 59,Noida Sector 62,2,No
Blue,Noida Sector 62,Noida Electronic City,2,No
Blue,Noida Electronic City,END,0,No
Blue-Branch,Yamuna Bank,Laxmi Nagar,3,Yes
Blue-Branch,Laxmi Nagar,Nirman Vihar,2,No
Blue-Branch,Nirman Vihar,Preet Vihar,2,No
Blue-Branch,Preet Vihar,Karkarduma,2,No
Blue-Branch,Karkarduma,Anand Vihar ISBT,2,No
Blue-Branch,Anand Vihar ISBT,Kaushambi,2,No
Blue-Branch,Kaushambi,Vaishali,2,No
Blue-Branch,Vaishali,END,0,No
Magenta,Krishna Park Extension,Janakpuri West,3,No
Magenta,Janakpuri West,Dabri Mor - Janakpuri South,3,Yes
Magenta,Dabri Mor - Janakpuri South,Dashrathpuri,2,No
Magenta,Dashrathpuri,Palam,3,No
Magenta,Palam,Sadar Bazar Cantonment,3,No
Magenta,Sadar Bazar Cantonment,Terminal 1 IGI Airport,3,No
Magenta,Terminal 1 IGI Airport,Shankar Vihar,3,No
Magenta,Shankar Vihar,Vasant Vihar,3,No
Magenta,Vasant Vihar,Munirka,3,No
Magenta,Munirka,R.K. Puram,2,No
Magenta,R.K. Puram,IIT,2,No
Magenta,IIT,Hauz Khas,2,Yes
Magenta,Hauz Khas,Panchsheel Park,3,No
Magenta,Panchsheel Park,Chirag Delhi,2,No
Magenta,Chirag Delhi,Greater Kailash,2,No
Magenta,Greater Kailash,Nehru Enclave,2,No
Magenta,Nehru Enclave,Kalkaji Mandir,2,Yes
Magenta,Kalkaji Mandir,Okhla NSIC,2,No
Magenta,Okhla NSIC,Sukhdev Vihar,2,No
Magenta,Sukhdev Vihar,Jamia Millia Islamia,2,No
Magenta,Jamia Millia Islamia,Okhla Vihar,2,No
Magenta,Okhla Vihar,Jasola Vihar Shaheen Bagh,2,No
Magenta,Jasola Vihar Shaheen Bagh,Kalindi Kunj,3,No
Magenta,Kalindi Kunj,Okhla Bird Sanctuary,3,No
Magenta,Okhla Bird Sanctuary,Botanical Garden,3,Yes
Magenta,Botanical Garden,END,0,No
Yellow,Samaypur Badli,Rohini Sector 18-19,3,No
Yellow,Rohini Sector 18-19,Haiderpur Badli Mor,3,No
Yellow,Haiderpur Badli Mor,Jahangirpuri,3,No
Yellow,Jahangirpuri,Adarsh Nagar,2,No
Yellow,Adarsh Nagar,Azadpur,2,No
Yellow,Azadpur,Model Town,2,No
Yellow,Model Town,GTB Nagar,3,No
Yellow,GTB Nagar,Vishwavidyalaya,2,No
Yellow,Vishwavidyalaya,Vidhan Sabha,2,No
Yellow,Vidhan Sabha,Civil Lines,2,No
Yellow,Civil Lines,Kashmere Gate,3,Yes
Yellow,Kashmere Gate,Chandni Chowk,2,No
Yellow,Chandni Chowk,Chawri Bazar,2,No
Yellow,Chawri Bazar,New Delhi,2,No
Yellow,New Delhi,Rajiv Chowk,2,Yes
Yellow,Rajiv Chowk,Patel Chowk,2,No
Yellow,Patel Chowk,Central Secretariat,2,Yes
Yellow,Central Secretariat,Udyog Bhawan,2,No
Yellow,Udyog Bhawan,Lok Kalyan Marg,2,No
Yellow,Lok Kalyan Marg,Jor Bagh,2,No
Yellow,Jor Bagh,Dilli Haat - INA,2,No
Yellow,Dilli Haat - INA,AIIMS,2,No
Yellow,AIIMS,Green Park,2,No
Yellow,Green Park,Hauz Khas,3,Yes
Yellow,Hauz Khas,Malviya Nagar,3,No
Yellow,Malviya Nagar,Saket,2,No
Yellow,Saket,Qutab Minar,3,No
Yellow,Qutab Minar,Chhatarpur,2,No
Yellow,Chhatarpur,Sultanpur,2,No
Yellow,Sultanpur,Ghitorni,3,No
Yellow,Ghitorni,Arjan Garh,3,No
Yellow,Arjan Garh,Guru Dronacharya,3,No
Yellow,Guru Dronacharya,Sikandarpur,2,No
Yellow,Sikandarpur,MG Road,2,No
Yellow,MG Road,IFFCO Chowk,2,No
Yellow,IFFCO Chowk,Millennium City Centre,2,No
Yellow,Millennium City Centre,END,0,No
Violet,Kashmere Gate,Lal Qila,2,Yes
Violet,Lal Qila,Jama Masjid,2,No
Violet,Jama Masjid,Delhi Gate,2,No
Violet,Delhi Gate,ITO,2,No
Violet,ITO,Mandi House,2,Yes
Violet,Mandi House,Janpath,2,No
Violet,Janpath,Central Secretariat,2,Yes
Violet,Central Secretariat,Khan Market,3,No
Violet,Khan Market,JLN Stadium,2,No
Violet,JLN Stadium,Jangpura,2,No
Violet,Jangpura,Lajpat Nagar,2,No
Violet,Lajpat Nagar,Moolchand,2,No
Violet,Moolchand,Kailash Colony,2,No
Violet,Kailash Colony,Nehru Place,2,No
Violet,Nehru Place,Kalkaji Mandir,2,Yes
Violet,Kalkaji Mandir,Govind Puri,2,No
Violet,Govind Puri,Harkesh Nagar Okhla,2,No
Violet,Harkesh Nagar Okhla,Jasola Apollo,2,No
Violet,Jasola Apollo,Sarita Vihar,2,No
Violet,Sarita Vihar,Mohan Estate,2,No
Violet,Mohan Estate,Tughlakabad,2,No
Violet,Tughlakabad,Badarpur Border,3,No
Violet,Badarpur Border,Sarai,3,No
Violet,Sarai,NHPC Chowk,2,No
Violet,NHPC Chowk,Mewla Maharajpur,2,No
Violet,Mewla Maharajpur,Sector 28,2,No
Violet,Sector 28,Badkhal Mor,2,No
Violet,Badkhal Mor,Old Faridabad,2,No
Violet,Old Faridabad,Neelam Chowk Ajronda,2,No
Violet,Neelam Chowk Ajronda,Bata Chowk,2,No
Violet,Bata Chowk,Escorts Mujesar,3,No
Violet,Escorts Mujesar,Sant Surdas Sihi,2,No
Violet,Sant Surdas Sihi,Raja Nahar Singh,2,No
Violet,Raja Nahar Singh,END,0,No
